year,season,week,Away,Home
2024,2024,1,Ravens,Chiefs
2024,2024,1,Packers,Eagles
2024,2024,1,Cardinals,Bills
2024,2024,1,Panthers,Saints
2024,2024,1,Texans,Colts
2024,2024,1,Jaguars,Dolphins
2024,2024,1,Vikings,Giants
2024,2024,1,Patriots,Bengals
2024,2024,1,Steelers,Falcons
2024,2024,1,Titans,Bears
2024,2024,1,Broncos,Seahawks
2024,2024,1,Raiders,Chargers
2024,2024,1,Cowboys,Browns
2024,2024,1,Commanders,Buccaneers
2024,2024,1,Rams,Lions
2024,2024,1,Jets,49ers
2024,2024,2,Bills,Dolphins
2024,2024,2,Browns,Jaguars
2024,2024,2,Colts,Packers
2024,2024,2,Raiders,Ravens
2024,2024,2,Chargers,Panthers
2024,2024,2,Saints,Cowboys
2024,2024,2,Giants,Commanders
2024,2024,2,Jets,Titans
2024,2024,2,49ers,Vikings
2024,2024,2,Seahawks,Patriots
2024,2024,2,Buccaneers,Lions
2024,2024,2,Rams,Cardinals
2024,2024,2,Bengals,Chiefs
2024,2024,2,Steelers,Broncos
2024,2024,2,Bears,Texans
2024,2024,2,Falcons,Eagles
2024,2024,3,Patriots,Jets
2024,2024,3,Bears,Colts
2024,2024,3,Broncos,Buccaneers
2024,2024,3,Packers,Titans
2024,2024,3,Texans,Vikings
2024,2024,3,Chargers,Steelers
2024,2024,3,Giants,Browns
2024,2024,3,Eagles,Saints
2024,2024,3,Panthers,Raiders
2024,2024,3,Dolphins,Seahawks
2024,2024,3,Ravens,Cowboys
2024,2024,3,Lions,Cardinals
2024,2024,3,49ers,Rams
2024,2024,3,Chiefs,Falcons
2024,2024,3,Jaguars,Bills
2024,2024,3,Commanders,Bengals
2024,2024,4,Cowboys,Giants
2024,2024,4,Bengals,Panthers
2024,2024,4,Broncos,Jets
2024,2024,4,Jaguars,Texans
2024,2024,4,Rams,Bears
2024,2024,4,Vikings,Packers
2024,2024,4,Saints,Falcons
2024,2024,4,Eagles,Buccaneers
2024,2024,4,Steelers,Colts
2024,2024,4,Patriots,49ers
2024,2024,4,Commanders,Cardinals
2024,2024,4,Browns,Raiders
2024,2024,4,Chiefs,Chargers
2024,2024,4,Bills,Ravens
2024,2024,4,Titans,Dolphins
2024,2024,4,Seahawks,Lions
2024,2024,5,Buccaneers,Falcons
2024,2024,5,Jets,Vikings
2024,2024,5,Ravens,Bengals
2024,2024,5,Bills,Texans
2024,2024,5,Panthers,Bears
2024,2024,5,Browns,Commanders
2024,2024,5,Colts,Jaguars
2024,2024,5,Raiders,Broncos
2024,2024,5,Dolphins,Patriots
2024,2024,5,Cardinals,49ers
2024,2024,5,Packers,Rams
2024,2024,5,Giants,Seahawks
2024,2024,5,Cowboys,Steelers
2024,2024,5,Saints,Chiefs
2024,2024,6,49ers,Seahawks
2024,2024,6,Jaguars,Bears
2024,2024,6,Cardinals,Packers
2024,2024,6,Browns,Eagles
2024,2024,6,Texans,Patriots
2024,2024,6,Colts,Titans
2024,2024,6,Buccaneers,Saints
2024,2024,6,Commanders,Ravens
2024,2024,6,Chargers,Broncos
2024,2024,6,Steelers,Raiders
2024,2024,6,Falcons,Panthers
2024,2024,6,Lions,Cowboys
2024,2024,6,Bengals,Giants
2024,2024,6,Bills,Jets
2024,2024,7,Broncos,Saints
2024,2024,7,Patriots,Jaguars
2024,2024,7,Bengals,Browns
2024,2024,7,Lions,Vikings
2024,2024,7,Texans,Packers
2024,2024,7,Dolphins,Colts
2024,2024,7,Eagles,Giants
2024,2024,7,Seahawks,Falcons
2024,2024,7,Titans,Bills
2024,2024,7,Panthers,Commanders
2024,2024,7,Raiders,Rams
2024,2024,7,Chiefs,49ers
2024,2024,7,Jets,Steelers
2024,2024,7,Ravens,Buccaneers
2024,2024,7,Chargers,Cardinals
2024,2024,8,Vikings,Rams
2024,2024,8,Cardinals,Dolphins
2024,2024,8,Falcons,Buccaneers
2024,2024,8,Ravens,Browns
2024,2024,8,Bears,Commanders
2024,2024,8,Packers,Jaguars
2024,2024,8,Colts,Texans
2024,2024,8,Jets,Patriots
2024,2024,8,Titans,Lions
2024,2024,8,Bills,Seahawks
2024,2024,8,Saints,Chargers
2024,2024,8,Panthers,Broncos
2024,2024,8,Chiefs,Raiders
2024,2024,8,Eagles,Bengals
2024,2024,8,Cowboys,49ers
2024,2024,8,Giants,Steelers
2024,2024,9,Texans,Jets
2024,2024,9,Cowboys,Falcons
2024,2024,9,Broncos,Ravens
2024,2024,9,Colts,Vikings
2024,2024,9,Raiders,Bengals
2024,2024,9,Chargers,Browns
2024,2024,9,Dolphins,Bills
2024,2024,9,Patriots,Titans
2024,2024,9,Saints,Panthers
2024,2024,9,Commanders,Giants
2024,2024,9,Bears,Cardinals
2024,2024,9,Lions,Packers
2024,2024,9,Rams,Seahawks
2024,2024,9,Jaguars,Eagles
2024,2024,9,Buccaneers,Chiefs
2024,2024,10,Bengals,Ravens
2024,2024,10,Giants,Panthers
2024,2024,10,Falcons,Saints
2024,2024,10,Bills,Colts
2024,2024,10,Broncos,Chiefs
2024,2024,10,Vikings,Jaguars
2024,2024,10,Patriots,Bears
2024,2024,10,Steelers,Commanders
2024,2024,10,49ers,Buccaneers
2024,2024,10,Titans,Chargers
2024,2024,10,Jets,Cardinals
2024,2024,10,Eagles,Cowboys
2024,2024,10,Lions,Texans
2024,2024,10,Dolphins,Rams
2024,2024,11,Commanders,Eagles
2024,2024,11,Ravens,Steelers
2024,2024,11,Browns,Saints
2024,2024,11,Packers,Bears
2024,2024,11,Jaguars,Lions
2024,2024,11,Raiders,Dolphins
2024,2024,11,Rams,Patriots
2024,2024,11,Vikings,Titans
2024,2024,11,Falcons,Broncos
2024,2024,11,Seahawks,49ers
2024,2024,11,Bengals,Chargers
2024,2024,11,Chiefs,Bills
2024,2024,11,Colts,Jets
2024,2024,11,Texans,Cowboys
2024,2024,12,Steelers,Browns
2024,2024,12,Cowboys,Commanders
2024,2024,12,Lions,Colts
2024,2024,12,Chiefs,Panthers
2024,2024,12,Vikings,Bears
2024,2024,12,Patriots,Dolphins
2024,2024,12,Buccaneers,Giants
2024,2024,12,Titans,Texans
2024,2024,12,Broncos,Raiders
2024,2024,12,Cardinals,Seahawks
2024,2024,12,49ers,Packers
2024,2024,12,Eagles,Rams
2024,2024,12,Ravens,Chargers
2024,2024,13,Bears,Lions
2024,2024,13,Giants,Cowboys
2024,2024,13,Dolphins,Packers
2024,2024,13,Raiders,Chiefs
2024,2024,13,Cardinals,Vikings
2024,2024,13,Texans,Jaguars
2024,2024,13,Colts,Patriots
2024,2024,13,Chargers,Falcons
2024,2024,13,Steelers,Bengals
2024,2024,13,Seahawks,Jets
2024,2024,13,Titans,Commanders
2024,2024,13,Rams,Saints
2024,2024,13,Buccaneers,Panthers
2024,2024,13,Eagles,Ravens
2024,2024,13,49ers,Bills
2024,2024,13,Browns,Broncos
2024,2024,14,Packers,Lions
2024,2024,14,Falcons,Vikings
2024,2024,14,Panthers,Eagles
2024,2024,14,Browns,Steelers
2024,2024,14,Jaguars,Titans
2024,2024,14,Raiders,Buccaneers
2024,2024,14,Saints,Giants
2024,2024,14,Jets,Dolphins
2024,2024,14,Seahawks,Cardinals
2024,2024,14,Bills,Rams
2024,2024,14,Bears,49ers
2024,2024,14,Chargers,Chiefs
2024,2024,14,Bengals,Cowboys
2024,2024,15,Rams,49ers
2024,2024,15,Ravens,Giants
2024,2024,15,Bengals,Titans
2024,2024,15,Cowboys,Panthers
2024,2024,15,Chiefs,Browns
2024,2024,15,Dolphins,Texans
2024,2024,15,Jets,Jaguars
2024,2024,15,Commanders,Saints
2024,2024,15,Bills,Lions
2024,2024,15,Colts,Broncos
2024,2024,15,Patriots,Cardinals
2024,2024,15,Steelers,Eagles
2024,2024,15,Buccaneers,Chargers
2024,2024,15,Packers,Seahawks
2024,2024,15,Bears,Vikings
2024,2024,15,Falcons,Raiders
2024,2024,16,Browns,Bengals
2024,2024,16,Texans,Chiefs
2024,2024,16,Steelers,Ravens
2024,2024,16,Cardinals,Panthers
2024,2024,16,Lions,Bears
2024,2024,16,Rams,Jets
2024,2024,16,Patriots,Bills
2024,2024,16,Giants,Falcons
2024,2024,16,Eagles,Commanders
2024,2024,16,Titans,Colts
2024,2024,16,Broncos,Chargers
2024,2024,16,Vikings,Seahawks
2024,2024,16,Jaguars,Raiders
2024,2024,16,49ers,Dolphins
2024,2024,16,Buccaneers,Cowboys
2024,2024,16,Saints,Packers
2024,2024,17,Chiefs,Steelers
2024,2024,17,Ravens,Texans
2024,2024,17,Seahawks,Bears
2024,2024,17,Broncos,Bengals
2024,2024,17,Cardinals,Rams
2024,2024,17,Chargers,Patriots
2024,2024,17,Falcons,Commanders
2024,2024,17,Panthers,Buccaneers
2024,2024,17,Packers,Vikings
2024,2024,17,Colts,Giants
2024,2024,17,Raiders,Saints
2024,2024,17,Jets,Bills
2024,2024,17,Titans,Jaguars
2024,2024,17,Cowboys,Eagles
2024,2024,17,Dolphins,Browns
2024,2024,17,Lions,49ers
2025,2024,18,Bills,Patriots
2025,2024,18,Panthers,Falcons
2025,2024,18,Bears,Packers
2025,2024,18,Bengals,Steelers
2025,2024,18,Browns,Ravens
2025,2024,18,Texans,Titans
2025,2024,18,Jaguars,Colts
2025,2024,18,Chiefs,Broncos
2025,2024,18,Chargers,Raiders
2025,2024,18,Dolphins,Jets
2025,2024,18,Vikings,Lions
2025,2024,18,Saints,Buccaneers
2025,2024,18,Giants,Eagles
2025,2024,18,49ers,Cardinals
2025,2024,18,Seahawks,Rams
2025,2024,18,Commanders,Cowboys
